D/service_hrm_DATA( 3507): 1548824553.430,2118595.000000,1.569692,3.955336,8.764909,-1.400000,-0.910000,0.140000
D/service_hrm_DATA( 3507): 1548824553.469,2118595.000000,1.586441,3.921836,8.839087,-1.820000,-0.210000,0.560000
D/service_hrm_DATA( 3507): 1548824553.509,2119000.000000,1.550549,3.931407,8.853443,-1.400000,-0.280000,0.560000
D/service_hrm_DATA( 3507): 1548824553.550,2119290.000000,1.591227,3.964907,8.874979,-0.840000,-0.490000,-0.140000
D/service_hrm_DATA( 3507): 1548824553.589,2119565.000000,1.557728,3.948158,8.851050,-1.400000,-0.770000,0.420000
D/service_hrm_DATA( 3507): 1548824553.630,2119384.000000,1.567299,3.955336,8.934800,-1.260000,-1.330000,0.630000
D/service_hrm_DATA( 3507): 1548824553.669,2119384.000000,1.641476,3.917051,8.836694,-1.470000,-1.120000,0.910000
D/service_hrm_DATA( 3507): 1548824553.709,2119035.000000,1.564906,3.893122,8.843873,-0.840000,-0.980000,0.980000
D/service_hrm_DATA( 3507): 1548824553.749,2118090.000000,1.550549,3.957729,8.867801,-0.700000,-1.190000,0.770000
D/service_hrm_DATA( 3507): 1548824553.790,2117439.000000,1.586441,3.931407,8.851050,-0.630000,-1.190000,0.350000
D/service_hrm_DATA( 3507): 1548824553.830,2116742.000000,1.624727,3.909872,8.786445,-0.490000,-0.840000,0.350000
D/service_hrm_DATA( 3507): 1548824553.869,2116742.000000,1.641476,3.945765,8.776874,0.140000,-0.770000,0.070000
D/service_hrm_DATA( 3507): 1548824553.909,2116481.000000,1.670190,3.931407,8.829515,0.140000,-0.420000,0.280000
D/service_hrm_DATA( 3507): 1548824553.949,2116143.000000,1.696511,3.962514,8.925228,0.070000,-0.560000,-0.210000
D/service_hrm_DATA( 3507): 1548824553.989,2116013.000000,1.739582,3.974478,8.958728,0.770000,-1.190000,-0.280000
D/service_hrm_DATA( 3507): 1548824554.030,2115715.000000,1.722832,4.031906,8.937192,1.260000,-2.240000,-0.210000
D/service_hrm_DATA( 3507): 1548824554.068,2115715.000000,1.792224,4.060620,8.870193,2.870000,-2.660000,-0.350000
D/service_hrm_DATA( 3507): 1548824554.109,2115887.000000,1.859223,4.074977,8.817552,3.570000,-1.820000,-0.490000
D/service_hrm_DATA( 3507): 1548824554.150,2116114.000000,1.758725,4.163511,8.841480,5.110000,-1.330000,-0.700000
D/service_hrm_DATA( 3507): 1548824554.189,2115952.000000,1.684547,4.153940,8.831908,6.020000,-1.610000,-0.700000
D/service_hrm_DATA( 3507): 1548824554.230,2115844.000000,1.593620,4.170690,8.870193,4.130000,-2.170000,-0.140000
D/service_hrm_DATA( 3507): 1548824554.269,2115844.000000,1.739582,3.883551,8.757731,6.440000,-2.940000,-0.840000
D/service_hrm_DATA( 3507): 1548824554.309,2116964.000000,1.624727,3.909872,8.513663,3.710000,-2.730000,-2.800000
D/service_hrm_DATA( 3507): 1548824554.365,2117747.000000,1.746760,3.859623,8.401200,5.110000,-1.540000,-4.340000
D/service_hrm_DATA( 3507): 1548824554.390,2118885.000000,1.564906,3.936193,8.173882,5.250000,2.940000,-5.810000
D/service_hrm_DATA( 3507): 1548824554.430,2119603.000000,1.440479,4.017549,8.267202,6.090000,7.000000,-9.730000
D/service_hrm_DATA( 3507): 1548824554.470,2119603.000000,1.093520,4.163511,8.437093,1.190000,7.700000,-12.950000
D/service_hrm_DATA( 3507): 1548824554.510,2118573.000000,1.040878,4.457829,8.688338,0.700000,4.130000,-12.460000
D/service_hrm_DATA( 3507): 1548824554.550,2117917.000000,1.347159,4.479364,8.796017,-3.010000,1.750000,-9.940000
D/service_hrm_DATA( 3507): 1548824554.590,2117586.000000,1.493121,4.601398,8.879765,-2.170000,0.630000,-9.520000
D/service_hrm_DATA( 3507): 1548824554.631,2116836.000000,1.562513,4.740182,8.827123,-1.400000,-1.120000,-10.990000
D/service_hrm_DATA( 3507): 1548824554.669,2116836.000000,1.639083,4.780859,8.662018,0.210000,-1.400000,-11.690000
D/service_hrm_DATA( 3507): 1548824554.710,2116326.000000,1.816152,4.876573,8.336594,-0.910000,-3.290000,-12.040000
D/service_hrm_DATA( 3507): 1548824554.750,2116497.000000,1.873580,4.718646,8.219346,-1.750000,-6.440000,-10.640000
D/service_hrm_DATA( 3507): 1548824554.789,2116545.000000,1.847259,4.345366,8.236095,-1.190000,-6.650000,-9.520000
D/service_hrm_DATA( 3507): 1548824554.831,2116674.000000,1.462015,4.218546,8.221739,-1.050000,-5.600000,-11.270000
D/service_hrm_DATA( 3507): 1548824554.870,2116674.000000,1.227518,4.170690,8.563912,-1.120000,-4.620000,-11.690000
D/service_hrm_DATA( 3507): 1548824554.909,2115652.000000,0.890130,4.151547,8.755339,-3.290000,-1.470000,-13.160000
D/service_hrm_DATA( 3507): 1548824554.950,2114006.000000,0.586242,4.393222,8.736196,-5.250000,2.240000,-17.430000
D/service_hrm_DATA( 3507): 1548824554.990,2112969.000000,0.313460,4.534399,8.618947,-5.600000,5.180000,-18.059999
D/service_hrm_DATA( 3507): 1548824555.030,2112445.000000,0.148355,4.687540,8.772088,-2.030000,6.650000,-15.610000
D/service_hrm_DATA( 3507): 1548824555.069,2112445.000000,0.038285,4.661219,8.743374,-0.070000,3.780000,-13.090000
D/service_hrm_DATA( 3507): 1548824555.110,2111986.000000,0.086142,4.476971,8.750552,1.890000,3.780000,-9.800000
D/service_hrm_DATA( 3507): 1548824555.151,2112535.000000,0.368495,4.405186,8.829515,0.420000,1.190000,-6.090000
D/service_hrm_DATA( 3507): 1548824555.191,2112948.000000,0.217747,4.366901,8.841480,0.490000,2.660000,-5.250000
D/service_hrm_DATA( 3507): 1548824555.232,2113089.000000,0.241675,4.488935,8.748159,1.680000,3.010000,-6.650000
D/service_hrm_DATA( 3507): 1548824555.270,2113089.000000,0.248854,4.749753,8.901299,-1.400000,4.270000,-5.320000
D/service_hrm_DATA( 3507): 1548824555.310,2112148.000000,0.258425,4.630112,8.982656,-0.770000,4.270000,-2.100000
D/service_hrm_DATA( 3507): 1548824555.351,2111800.000000,0.157926,4.744967,9.044869,-3.290000,2.520000,-2.660000
D/service_hrm_DATA( 3507): 1548824555.391,2112110.000000,0.473779,4.814359,8.946764,0.490000,0.700000,-2.520000
D/service_hrm_DATA( 3507): 1548824555.432,2112431.000000,0.449851,5.036892,8.874979,-0.980000,0.490000,-1.260000
